Wavelength	S1c	Wavelength	S1
nm	CPS	nm	CPS
700	9366.28246307373	700	1372
702	9896.15017318726	702	1396
704	8481.41790771484	704	1214
706	8336.43132209778	706	1172
708	9909.80232620239	708	1302
710	8999.87338256836	710	1186
712	8431.74782409668	712	1106
714	8475.0830619812	714	1086
716	8558.19513015747	716	1070
718	8023.97989654541	718	1002
720	9459.31574821472	720	1100
722	7742.63503303528	722	940
724	8951.60603370666	724	1016
726	8848.43069114685	726	988
728	8077.47066307068	728	912
730	8372.62276268005	730	916
732	8408.82061386108	732	902
734	9208.57613639831	734	940
736	8344.37384033203	736	866
738	9266.36418914795	738	908
740	10521.3334236145	740	968
742	9686.77017974854	742	902
744	9755.98431015015	744	892
746	9662.87250518799	746	872
748	8958.06719970703	748	818
750	9424.60884094238	750	830
752	11062.6685333252	752	902
754	9523.0500869751	754	808
756	11599.2263671875	756	898
758	12752.3974853516	758	938
760	13567.9263000488	760	960
762	13765.5754516602	762	954
764	14269.1875	764	962
766	14934.7447883606	766	976
768	15819.8608535767	768	998
770	14812.4222831726	770	940
772	16054.4616394043	772	978
774	14587.2737884521	774	906
776	17355.6363372803	776	1002
778	18797.488494873	778	1042
780	18898.1138534546	780	1030
